"","TractID","COUNTY","Year","TotalFilings","TotalHousehold2019","EvictionRate","PovertyRate","EducationRate","UninsurRate","MinorityRate","RenterRate","UnempRate","RentBurdenRate"
"1",13063040202,"Clayton","19",220,904,0.243362831858407,0.201,0.082541567695962,0.247,0.952,0.682522123893805,0.086,0.701
"2",13063040203,"Clayton","19",567,1569,0.361376673040153,0.13,0.189105058365759,0.259,0.984,0.677501593371574,0.119,0.514
"3",13063040204,"Clayton","19",709,1904,0.372373949579832,0.185,0.19649477586788,0.175,0.983,0.769432773109244,0.063,0.452
"4",13063040302,"Clayton","19",534,1951,0.273705791901589,0.31,0.0579392420920764,0.271,0.805,0.656073808303434,0.095,0.483
"5",13063040303,"Clayton","19",518,2417,0.214315266859743,0.23,0.101968223855822,0.24,0.888,0.512205213074059,0.109,0.505
"6",13063040306,"Clayton","19",655,1369,0.47845142439737,0.365,0.115162294353046,0.23,0.982,0.93791088385683,0.092,0.601
"7",13063040307,"Clayton","19",160,1463,0.109364319890636,0.179,0.0883585940019349,0.25,0.817,0.417634996582365,0.107,0.593
"8",13063040308,"Clayton","19",336,1655,0.203021148036254,0.211,0.0500181225081551,0.221,0.847,0.709365558912387,0.052,0.607
"9",13063040407,"Clayton","19",97,1250,0.0776,0.108,0.13965744400527,0.165,0.903,0.356,0.038,0.499
"10",13063040408,"Clayton","19",471,2234,0.210832587287377,0.181,0.0899553137750146,0.219,0.906,0.542076991942704,0.116,0.488
"11",13063040409,"Clayton","19",432,1864,0.231759656652361,0.088,0.146156012390876,0.187,0.9,0.415772532188841,0.06,0.45
"12",13063040410,"Clayton","19",319,2346,0.135976129582268,0.115,0.153656900022366,0.235,0.925,0.337595907928389,0.072,0.443
"13",13063040411,"Clayton","19",246,4357,0.0564608675694285,0.091,0.245283018867925,0.134,0.87,0.164103741106266,0.028,0.462
"14",13063040412,"Clayton","19",949,2964,0.320175438596491,0.177,0.238315167190098,0.227,0.947,0.643724696356275,0.082,0.523
"15",13063040413,"Clayton","19",253,2418,0.104631927212572,0.12,0.274302620456467,0.137,0.916,0.38626964433416,0.041,0.523
"16",13063040414,"Clayton","19",305,592,0.515202702702703,0.264,0.0771276595744681,0.206,0.829,0.618243243243243,0.076,0.496
"17",13063040415,"Clayton","19",1274,2343,0.543747332479727,0.394,0.15600624024961,0.304,0.948,0.863422962014511,0.069,0.573
"18",13063040416,"Clayton","19",107,1090,0.0981651376146789,0.197,0.111388611388611,0.227,0.857,0.469724770642202,0.043,0.417
"19",13063040417,"Clayton","19",907,1957,0.463464486458866,0.263,0.1223113964687,0.187,0.943,0.83903934593766,0.1,0.576
"20",13063040509,"Clayton","19",136,1626,0.0836408364083641,0.149,0.218761188686001,0.192,0.971,0.283517835178352,0.045,0.48
"21",13063040510,"Clayton","19",356,1270,0.280314960629921,0.298,0.109848484848485,0.258,0.97,0.581889763779528,0.12,0.562
"22",13063040512,"Clayton","19",397,2005,0.198004987531172,0.159,0.205856515373353,0.131,0.961,0.529675810473816,0.096,0.546
"23",13063040513,"Clayton","19",102,1620,0.062962962962963,0.142,0.138809182209469,0.096,0.902,0.266049382716049,0.058,0.372
"24",13063040514,"Clayton","19",750,2616,0.286697247706422,0.197,0.191382555950638,0.212,0.965,0.575305810397553,0.137,0.434
"25",13063040515,"Clayton","19",688,2713,0.25359380759307,0.231,0.147890387124837,0.162,0.951,0.600442314780686,0.094,0.621
"26",13063040516,"Clayton","19",426,2081,0.204709274387314,0.203,0.175032509752926,0.209,0.931,0.463719365689572,0.14,0.434
"27",13063040518,"Clayton","19",399,1697,0.23512080141426,0.243,0.11965811965812,0.256,0.927,0.590453741897466,0.116,0.549
"28",13063040519,"Clayton","19",1085,2369,0.457999155761925,0.288,0.133104738154613,0.207,0.988,1,0.051,0.529
"29",13063040520,"Clayton","19",1070,1839,0.581837955410549,0.176,0.173506119510439,0.203,0.979,0.848287112561175,0.114,0.482
"30",13063040521,"Clayton","19",123,1082,0.113678373382625,0.249,0.137721518987342,0.185,0.926,0.510166358595194,0.102,0.679
"31",13063040522,"Clayton","19",638,1807,0.353071389042612,0.268,0.142857142857143,0.184,0.916,0.650802434975097,0.086,0.572
"32",13063040523,"Clayton","19",116,1092,0.106227106227106,0.163,0.181716833890747,0.1,0.893,0.521062271062271,0.017,0.595
"33",13063040524,"Clayton","19",655,2677,0.244676877101233,0.135,0.160196340919232,0.18,0.898,0.561822936122525,0.077,0.504
"34",13063040525,"Clayton","19",150,1046,0.1434034416826,0.277,0.267454954954955,0.211,0.948,0.32791586998088,0.113,0.646
"35",13063040526,"Clayton","19",437,2324,0.188037865748709,0.217,0.217612193056732,0.156,0.922,0.458691910499139,0.082,0.484
"36",13063040606,"Clayton","19",160,1002,0.159680638722555,0.098,0.0984455958549223,0.136,0.736,0.226546906187625,0.046,0.692
"37",13063040608,"Clayton","19",728,4173,0.174454828660436,0.112,0.320379965457686,0.116,0.898,0.199856218547807,0.029,0.504
"38",13063040609,"Clayton","19",412,2161,0.190652475705692,0.063,0.160971223021583,0.161,0.856,0.333641832484961,0.054,0.519
"39",13063040611,"Clayton","19",1304,2194,0.594348222424795,0.261,0.0761083743842365,0.283,0.877,0.743391066545123,0.09,0.465
"40",13063040612,"Clayton","19",239,2013,0.11872826626925,0.3,0.0968437561262497,0.196,0.842,0.615002483854943,0.074,0.523
"41",13063040613,"Clayton","19",174,2746,0.0633648943918427,0.185,0.28072976054732,0.092,0.796,0.238892935178441,0.097,0.487
"42",13063040614,"Clayton","19",40,1794,0.0222965440356745,0.03,0.345733041575492,0.167,0.619,0.153846153846154,0.052,0.601
"43",13063040615,"Clayton","19",57,629,0.0906200317965024,0.153,0.220735785953177,0.128,0.845,0.29093799682035,0.075,0.572
"44",13063040616,"Clayton","19",1198,3016,0.397214854111406,0.134,0.230011587485516,0.136,0.925,0.740053050397878,0.019,0.414
"45",13063040617,"Clayton","19",233,354,0.65819209039548,0.274,0.0589198036006547,0.217,0.725,0.488700564971751,0.057,0.469
"46",13063040619,"Clayton","19",60,760,0.0789473684210526,0.073,0.253949678174371,0.134,0.962,0.267105263157895,0.081,0.548
"47",13063040620,"Clayton","19",59,1354,0.0435745937961595,0.084,0.235214140040789,0.098,0.868,0.146233382570162,0.05,0.318
"48",13063040621,"Clayton","19",558,3274,0.170433720219914,0.154,0.247447243022464,0.105,0.916,0.328344532681735,0.098,0.574
"49",13063040622,"Clayton","19",549,2298,0.238903394255875,0.267,0.153718321562111,0.204,0.861,0.420365535248042,0.068,0.415
"50",13067030101,"Cobb","19",131,2746,0.0477057538237436,0.119,0.356532877882152,0.14,0.175,0.203204661325564,0.055,0.345
"51",13067030103,"Cobb","19",48,3205,0.0149765990639626,0.022,0.412032816773017,0.088,0.454,0.190639625585023,0.056,0.288
