Census Tracts exported from DataNexus (data.neighborhoodnexus.org) on March 15th 2022 @ 6:18 pm

GEOID,LONGNAME,COUNTY,PlanningRegion,ARCModelingArea,# Total households 2019
"13039010200","Census Tract 102, Camden County","Camden","Coastal Regional Commission","No",1851
"13039010100","Census Tract 101, Camden County","Camden","Coastal Regional Commission","No",1204
"13271950500","Census Tract 9505, Telfair County","Telfair","Heart of Georgia Altamaha","No",1171
"13121001100","Census Tract 11, Fulton County","Fulton","Atlanta Regional Commission","Yes",3432
"13185011100","Census Tract 111, Lowndes County","Lowndes","Southern Georgia","No",942
"13051003000","Census Tract 30, Chatham County","Chatham","Coastal Regional Commission","No",765
"13121009603","Census Tract 96.03, Fulton County","Fulton","Atlanta Regional Commission","Yes",3071
"13121005800","Census Tract 58, Fulton County","Fulton","Atlanta Regional Commission","Yes",576
"13121010117","Census Tract 101.17, Fulton County","Fulton","Atlanta Regional Commission","Yes",1962
"13121009502","Census Tract 95.02, Fulton County","Fulton","Atlanta Regional Commission","Yes",2254
"13251970200","Census Tract 9702, Screven County","Screven","Coastal Regional Commission","No",517
"13251970400","Census Tract 9704, Screven County","Screven","Coastal Regional Commission","No",1693
"13097080508","Census Tract 805.08, Douglas County","Douglas","Atlanta Regional Commission","Yes",2086
"13067031209","Census Tract 312.09, Cobb County","Cobb","Atlanta Regional Commission","Yes",1823
"13021012800","Census Tract 128, Bibb County","Bibb","Middle Georgia","No",1056
"13067030412","Census Tract 304.12, Cobb County","Cobb","Atlanta Regional Commission","Yes",1935
"13095011400","Census Tract 114, Dougherty County","Dougherty","Southwest Georgia","No",465
"13089021213","Census Tract 212.13, DeKalb County","DeKalb","Atlanta Regional Commission","Yes",1205
"13121011202","Census Tract 112.02, Fulton County","Fulton","Atlanta Regional Commission","Yes",1583
"13191990000","Census Tract 9900, McIntosh County","McIntosh","Coastal Regional Commission","No",""
"13089023506","Census Tract 235.06, DeKalb County","DeKalb","Atlanta Regional Commission","Yes",2099
"13317010302","Census Tract 103.02, Wilkes County","Wilkes","Central Savannah River Area","No",1866
"13175950400","Census Tract 9504, Laurens County","Laurens","Heart of Georgia Altamaha","No",1517
"13223120202","Census Tract 1202.02, Paulding County","Paulding","Northwest Georgia","Yes",2685
"13127000504","Census Tract 5.04, Glynn County","Glynn","Coastal Regional Commission","No",1487
"13051001100","Census Tract 11, Chatham County","Chatham","Coastal Regional Commission","No",819
"13215011200","Census Tract 112, Muscogee County","Muscogee","River Valley","No",848
"13245000600","Census Tract 6, Richmond County","Richmond","Central Savannah River Area","No",938
"13275960200","Census Tract 9602, Thomas County","Thomas","Southwest Georgia","No",1547
"13121004900","Census Tract 49, Fulton County","Fulton","Atlanta Regional Commission","Yes",1108
"13121004800","Census Tract 48, Fulton County","Fulton","Atlanta Regional Commission","Yes",563
"13121006300","Census Tract 63, Fulton County","Fulton","Atlanta Regional Commission","Yes",703
"13135050436","Census Tract 504.36, Gwinnett County","Gwinnett","Atlanta Regional Commission","Yes",2721
"13089021305","Census Tract 213.05, DeKalb County","DeKalb","Atlanta Regional Commission","Yes",1492
"13063040414","Census Tract 404.14, Clayton County","Clayton","Atlanta Regional Commission","Yes",592
"13051000100","Census Tract 1, Chatham County","Chatham","Coastal Regional Commission","No",271
"13067030236","Census Tract 302.36, Cobb County","Cobb","Atlanta Regional Commission","Yes",1474
"13185011000","Census Tract 110, Lowndes County","Lowndes","Southern Georgia","No",1028
