GEOID,LONGNAME,COUNTY,PlanningRegion,ARCModelingArea,% Gross rent 30.0 percent of income or greater 2019
13039010200,"Census Tract 102, Camden County",Camden,Coastal Regional Commission,No,38.1
13039010100,"Census Tract 101, Camden County",Camden,Coastal Regional Commission,No,75.2
13271950500,"Census Tract 9505, Telfair County",Telfair,Heart of Georgia Altamaha,No,43.5
13121001100,"Census Tract 11, Fulton County",Fulton,Atlanta Regional Commission,Yes,22.1
13185011100,"Census Tract 111, Lowndes County",Lowndes,Southern Georgia,No,46.5
13051003000,"Census Tract 30, Chatham County",Chatham,Coastal Regional Commission,No,37.8
13121009603,"Census Tract 96.03, Fulton County",Fulton,Atlanta Regional Commission,Yes,32.8
13121005800,"Census Tract 58, Fulton County",Fulton,Atlanta Regional Commission,Yes,54.7
13121010117,"Census Tract 101.17, Fulton County",Fulton,Atlanta Regional Commission,Yes,40.8
13121009502,"Census Tract 95.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,29.5
13251970200,"Census Tract 9702, Screven County",Screven,Coastal Regional Commission,No,59.6
13251970400,"Census Tract 9704, Screven County",Screven,Coastal Regional Commission,No,53.3
13097080508,"Census Tract 805.08, Douglas County",Douglas,Atlanta Regional Commission,Yes,38.8
13067031209,"Census Tract 312.09, Cobb County",Cobb,Atlanta Regional Commission,Yes,40.9
13021012800,"Census Tract 128, Bibb County",Bibb,Middle Georgia,No,70.3
13067030412,"Census Tract 304.12, Cobb County",Cobb,Atlanta Regional Commission,Yes,43
13095011400,"Census Tract 114, Dougherty County",Dougherty,Southwest Georgia,No,46.8
13089021213,"Census Tract 212.13, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,47.4
13121011202,"Census Tract 112.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,47.3
13191990000,"Census Tract 9900, McIntosh County",McIntosh,Coastal Regional Commission,No,
13089023506,"Census Tract 235.06, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,79.2
13317010302,"Census Tract 103.02, Wilkes County",Wilkes,Central Savannah River Area,No,60.5
13175950400,"Census Tract 9504, Laurens County",Laurens,Heart of Georgia Altamaha,No,61
13223120202,"Census Tract 1202.02, Paulding County",Paulding,Northwest Georgia,Yes,53.5
13127000504,"Census Tract 5.04, Glynn County",Glynn,Coastal Regional Commission,No,41.3
13051001100,"Census Tract 11, Chatham County",Chatham,Coastal Regional Commission,No,58.7
13215011200,"Census Tract 112, Muscogee County",Muscogee,River Valley,No,51.2
13245000600,"Census Tract 6, Richmond County",Richmond,Central Savannah River Area,No,68.8
13275960200,"Census Tract 9602, Thomas County",Thomas,Southwest Georgia,No,54.7
13121004900,"Census Tract 49, Fulton County",Fulton,Atlanta Regional Commission,Yes,38.1
13121004800,"Census Tract 48, Fulton County",Fulton,Atlanta Regional Commission,Yes,49.9
13121006300,"Census Tract 63, Fulton County",Fulton,Atlanta Regional Commission,Yes,57.6
13135050436,"Census Tract 504.36, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,52.8
13089021305,"Census Tract 213.05, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,58.8
13063040414,"Census Tract 404.14, Clayton County",Clayton,Atlanta Regional Commission,Yes,49.6
13051000100,"Census Tract 1, Chatham County",Chatham,Coastal Regional Commission,No,67.1
13067030236,"Census Tract 302.36, Cobb County",Cobb,Atlanta Regional Commission,Yes,71.4
13185011000,"Census Tract 110, Lowndes County",Lowndes,Southern Georgia,No,63.5
13121005501,"Census Tract 55.01, Fulton County",Fulton,Atlanta Regional Commission,Yes,56.9
13121004200,"Census Tract 42, Fulton County",Fulton,Atlanta Regional Commission,Yes,50.1
13185010500,"Census Tract 105, Lowndes County",Lowndes,Southern Georgia,No,49.4
