"B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed","id","Geographic Area Name"
"543","81","0","14","32","26","37","26","34","30","54","37","28","24","64","40","113","50","163","56","18","21","1400000US13063040202","Census Tract 402.02, Clayton County, Georgia"
"991","174","45","50","64","60","56","47","97","53","139","80","24","28","104","78","228","126","155","72","79","70","1400000US13063040203","Census Tract 402.03, Clayton County, Georgia"
"1454","164","30","35","189","92","208","89","180","84","130","78","189","86","117","106","103","64","283","111","25","26","1400000US13063040204","Census Tract 402.04, Clayton County, Georgia"
"1367","250","45","45","104","83","207","100","237","140","152","88","79","70","40","38","98","77","405","146","0","20","1400000US13063040302","Census Tract 403.02, Clayton County, Georgia"
"1458","291","14","24","68","79","42","56","165","107","180","115","195","121","273","240","233","132","234","106","54","59","1400000US13063040306","Census Tract 403.06, Clayton County, Georgia"
"527","130","29","48","55","43","8","16","109","87","47","38","138","98","39","56","41","49","55","51","6","11","1400000US13063040307","Census Tract 403.07, Clayton County, Georgia"
"1064","239","18","19","27","41","61","69","81","46","139","88","101","74","68","50","151","103","403","193","15","15","1400000US13063040308","Census Tract 403.08, Clayton County, Georgia"
"765","190","14","28","152","225","8","46","49","82","133","121","33","51","0","14","88","110","264","158","24","39","1400000US13063040309","Census Tract 403.09, Clayton County, Georgia"
"619","204","21","32","133","130","65","101","49","82","65","60","0","14","0","14","16","29","270","170","0","14","1400000US13063040310","Census Tract 403.10, Clayton County, Georgia"
"501","152","0","14","127","76","27","39","45","35","41","50","14","17","5","8","66","54","56","30","120","117","1400000US13063040407","Census Tract 404.07, Clayton County, Georgia"
"704","165","48","76","55","39","99","74","46","52","127","81","70","58","43","45","68","67","123","73","25","35","1400000US13063040409","Census Tract 404.09, Clayton County, Georgia"
"989","432","153","137","81","99","16","34","11","21","72","95","372","427","117","126","63","65","92","78","12","21","1400000US13063040410","Census Tract 404.10, Clayton County, Georgia"
"376","64","25","30","58","44","79","55","39","38","34","26","7","10","9","14","30","29","71","30","24","25","1400000US13063040414","Census Tract 404.14, Clayton County, Georgia"
"383","130","0","14","40","50","86","67","99","77","15","25","0","14","35","34","22","37","63","51","23","21","1400000US13063040416","Census Tract 404.16, Clayton County, Georgia"
"1934","295","9","16","126","136","167","87","233","106","219","114","217","128","359","176","53","59","495","228","56","76","1400000US13063040417","Census Tract 404.17, Clayton County, Georgia"
"62","97","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","62","97","0","14","1400000US13063040418","Census Tract 404.18, Clayton County, Georgia"
"1228","312","22","28","35","35","80","63","174","99","194","96","60","79","66","60","79","78","433","267","85","69","1400000US13063040419","Census Tract 404.19, Clayton County, Georgia"
"451","237","0","20","42","93","21","39","170","153","27","46","77","83","0","20","15","23","16","27","83","134","1400000US13063040420","Census Tract 404.20, Clayton County, Georgia"
"182","154","0","20","87","126","0","20","28","49","0","20","0","20","31","49","0","20","36","58","0","20","1400000US13063040421","Census Tract 404.21, Clayton County, Georgia"
"944","133","86","101","114","110","168","137","36","24","72","77","6","25","40","61","136","51","246","166","40","54","1400000US13063040422","Census Tract 404.22, Clayton County, Georgia"
"1053","308","0","14","55","90","54","51","250","289","167","158","155","116","44","77","181","132","147","137","0","14","1400000US13063040423","Census Tract 404.23, Clayton County, Georgia"
"1115","156","0","14","232","164","230","221","48","57","228","153","24","44","100","127","59","51","139","132","55","83","1400000US13063040424","Census Tract 404.24, Clayton County, Georgia"
"665","215","0","20","0","20","0","20","73","84","15","23","43","53","93","84","134","131","172","103","135","197","1400000US13063040425","Census Tract 404.25, Clayton County, Georgia"
"386","132","38","62","46","74","0","14","48","71","0","14","53","59","0","14","0","14","201","123","0","14","1400000US13063040426","Census Tract 404.26, Clayton County, Georgia"
"513","212","8","15","0","14","177","144","59","88","50","82","0","14","38","28","72","72","62","65","47","74","1400000US13063040427","Census Tract 404.27, Clayton County, Georgia"
"487","149","0","14","69","63","118","84","14","27","12","21","13","13","0","14","96","76","119","87","46","50","1400000US13063040509","Census Tract 405.09, Clayton County, Georgia"
"753","146","37","37","27","29","155","109","64","55","0","14","26","39","55","67","61","54","281","131","47","48","1400000US13063040510","Census Tract 405.10, Clayton County, Georgia"
"918","197","0","20","95","67","113","70","35","43","84","65","89","73","108","110","142","105","233","121","19","19","1400000US13063040512","Census Tract 405.12, Clayton County, Georgia"
"583","241","18","20","18","31","33","38","56","66","58","63","0","20","12","18","176","226","124","90","88","111","1400000US13063040513","Census Tract 405.13, Clayton County, Georgia"
"1044","193","0","20","83","65","80","75","144","93","36","42","129","65","12","20","115","74","333","149","112","97","1400000US13063040518","Census Tract 405.18, Clayton County, Georgia"
"2284","264","51","58","62","52","155","117","241","139","365","153","97","71","301","156","293","136","634","248","85","86","1400000US13063040519","Census Tract 405.19, Clayton County, Georgia"
