"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"889","100","346","99","543","81","1400000US13063040202","Census Tract 402.02, Clayton County, Georgia"
"1646","188","655","167","991","174","1400000US13063040203","Census Tract 402.03, Clayton County, Georgia"
"1952","192","498","160","1454","164","1400000US13063040204","Census Tract 402.04, Clayton County, Georgia"
"1990","283","623","177","1367","250","1400000US13063040302","Census Tract 403.02, Clayton County, Georgia"
"1526","290","68","56","1458","291","1400000US13063040306","Census Tract 403.06, Clayton County, Georgia"
"1371","209","844","201","527","130","1400000US13063040307","Census Tract 403.07, Clayton County, Georgia"
"1644","326","580","206","1064","239","1400000US13063040308","Census Tract 403.08, Clayton County, Georgia"
"1301","332","536","328","765","190","1400000US13063040309","Census Tract 403.09, Clayton County, Georgia"
"1389","254","770","235","619","204","1400000US13063040310","Census Tract 403.10, Clayton County, Georgia"
"1303","188","802","142","501","152","1400000US13063040407","Census Tract 404.07, Clayton County, Georgia"
"1950","270","1246","267","704","165","1400000US13063040409","Census Tract 404.09, Clayton County, Georgia"
"2841","538","1852","375","989","432","1400000US13063040410","Census Tract 404.10, Clayton County, Georgia"
"570","74","194","65","376","64","1400000US13063040414","Census Tract 404.14, Clayton County, Georgia"
"921","141","538","140","383","130","1400000US13063040416","Census Tract 404.16, Clayton County, Georgia"
"2119","297","185","66","1934","295","1400000US13063040417","Census Tract 404.17, Clayton County, Georgia"
"415","99","353","76","62","97","1400000US13063040418","Census Tract 404.18, Clayton County, Georgia"
"1988","381","760","224","1228","312","1400000US13063040419","Census Tract 404.19, Clayton County, Georgia"
"2412","372","1961","408","451","237","1400000US13063040420","Census Tract 404.20, Clayton County, Georgia"
"2023","243","1841","263","182","154","1400000US13063040421","Census Tract 404.21, Clayton County, Georgia"
"982","130","38","20","944","133","1400000US13063040422","Census Tract 404.22, Clayton County, Georgia"
"1407","307","354","163","1053","308","1400000US13063040423","Census Tract 404.23, Clayton County, Georgia"
"1279","110","164","120","1115","156","1400000US13063040424","Census Tract 404.24, Clayton County, Georgia"
"1448","235","783","145","665","215","1400000US13063040425","Census Tract 404.25, Clayton County, Georgia"
"764","109","378","121","386","132","1400000US13063040426","Census Tract 404.26, Clayton County, Georgia"
"1735","241","1222","256","513","212","1400000US13063040427","Census Tract 404.27, Clayton County, Georgia"
"1702","279","1215","306","487","149","1400000US13063040509","Census Tract 405.09, Clayton County, Georgia"
"1519","236","766","223","753","146","1400000US13063040510","Census Tract 405.10, Clayton County, Georgia"
"1860","282","942","208","918","197","1400000US13063040512","Census Tract 405.12, Clayton County, Georgia"
"1802","347","1219","257","583","241","1400000US13063040513","Census Tract 405.13, Clayton County, Georgia"
"1690","223","646","153","1044","193","1400000US13063040518","Census Tract 405.18, Clayton County, Georgia"
"2284","264","0","14","2284","264","1400000US13063040519","Census Tract 405.19, Clayton County, Georgia"
"1065","145","501","137","564","157","1400000US13063040521","Census Tract 405.21, Clayton County, Georgia"
"1670","200","582","133","1088","155","1400000US13063040522","Census Tract 405.22, Clayton County, Georgia"
"1016","204","406","82","610","200","1400000US13063040523","Census Tract 405.23, Clayton County, Georgia"
"1030","104","657","110","373","107","1400000US13063040525","Census Tract 405.25, Clayton County, Georgia"
"1302","174","542","175","760","193","1400000US13063040527","Census Tract 405.27, Clayton County, Georgia"
"1265","184","562","139","703","206","1400000US13063040528","Census Tract 405.28, Clayton County, Georgia"
"1070","135","595","190","475","146","1400000US13063040529","Census Tract 405.29, Clayton County, Georgia"
"1552","222","674","238","878","161","1400000US13063040530","Census Tract 405.30, Clayton County, Georgia"
"957","100","95","55","862","97","1400000US13063040531","Census Tract 405.31, Clayton County, Georgia"
"658","93","173","61","485","104","1400000US13063040532","Census Tract 405.32, Clayton County, Georgia"
"1924","268","826","203","1098","287","1400000US13063040533","Census Tract 405.33, Clayton County, Georgia"
"937","161","510","163","427","132","1400000US13063040534","Census Tract 405.34, Clayton County, Georgia"
"1319","314","797","285","522","206","1400000US13063040535","Census Tract 405.35, Clayton County, Georgia"
"915","423","351","109","564","426","1400000US13063040536","Census Tract 405.36, Clayton County, Georgia"
"1707","348","995","336","712","270","1400000US13063040537","Census Tract 405.37, Clayton County, Georgia"
"823","110","422","119","401","157","1400000US13063040538","Census Tract 405.38, Clayton County, Georgia"
"842","157","670","154","172","87","1400000US13063040606","Census Tract 406.06, Clayton County, Georgia"
"2149","399","1257","202","892","358","1400000US13063040609","Census Tract 406.09, Clayton County, Georgia"
"1984","216","1702","205","282","120","1400000US13063040614","Census Tract 406.14, Clayton County, Georgia"
"604","77","404","77","200","77","1400000US13063040615","Census Tract 406.15, Clayton County, Georgia"
"332","54","183","52","149","44","1400000US13063040617","Census Tract 406.17, Clayton County, Georgia"
"1698","243","1149","275","549","183","1400000US13063040623","Census Tract 406.23, Clayton County, Georgia"
"689","160","504","152","185","92","1400000US13063040624","Census Tract 406.24, Clayton County, Georgia"
"1552","251","807","236","745","243","1400000US13063040625","Census Tract 406.25, Clayton County, Georgia"
"1874","321","1391","342","483","165","1400000US13063040626","Census Tract 406.26, Clayton County, Georgia"
"1964","504","1497","495","467","136","1400000US13063040627","Census Tract 406.27, Clayton County, Georgia"
"1070","201","1009","208","61","68","1400000US13063040628","Census Tract 406.28, Clayton County, Georgia"
"705","170","171","92","534","185","1400000US13063040629","Census Tract 406.29, Clayton County, Georgia"
"1551","291","270","126","1281","293","1400000US13063040630","Census Tract 406.30, Clayton County, Georgia"
"2055","147","1644","163","411","117","1400000US13063040631","Census Tract 406.31, Clayton County, Georgia"
"2400","601","319","177","2081","595","1400000US13063040632","Census Tract 406.32, Clayton County, Georgia"
"1030","193","462","129","568","154","1400000US13063040633","Census Tract 406.33, Clayton County, Georgia"
"1470","233","336","117","1134","244","1400000US13063040634","Census Tract 406.34, Clayton County, Georgia"
"681","106","399","102","282","95","1400000US13063040635","Census Tract 406.35, Clayton County, Georgia"
"1425","504","1336","492","89","101","1400000US13063040636","Census Tract 406.36, Clayton County, Georgia"
"572","128","168","102","404","141","1400000US13063040637","Census Tract 406.37, Clayton County, Georgia"
"1345","241","1049","275","296","143","1400000US13063040638","Census Tract 406.38, Clayton County, Georgia"
"902","59","873","70","29","36","1400000US13063040639","Census Tract 406.39, Clayton County, Georgia"
"0","14","0","14","0","14","1400000US13063980000","Census Tract 9800, Clayton County, Georgia"
"1528","309","731","131","797","285","1400000US13067030104","Census Tract 301.04, Cobb County, Georgia"
"1527","118","1375","140","152","70","1400000US13067030107","Census Tract 301.07, Cobb County, Georgia"
"1455","164","1224","160","231","146","1400000US13067030108","Census Tract 301.08, Cobb County, Georgia"
"1395","267","875","118","520","268","1400000US13067030109","Census Tract 301.09, Cobb County, Georgia"
"1325","161","1103","184","222","121","1400000US13067030110","Census Tract 301.10, Cobb County, Georgia"
"1760","280","1490","273","270","94","1400000US13067030111","Census Tract 301.11, Cobb County, Georgia"
"1196","194","382","117","814","196","1400000US13067030112","Census Tract 301.12, Cobb County, Georgia"
"1239","172","867","180","372","144","1400000US13067030113","Census Tract 301.13, Cobb County, Georgia"
"587","84","526","84","61","31","1400000US13067030220","Census Tract 302.20, Cobb County, Georgia"
"1660","210","1575","209","85","56","1400000US13067030233","Census Tract 302.33, Cobb County, Georgia"
"1532","116","1452","109","80","62","1400000US13067030235","Census Tract 302.35, Cobb County, Georgia"
"1394","123","1349","128","45","54","1400000US13067030236","Census Tract 302.36, Cobb County, Georgia"
"1852","221","1445","231","407","101","1400000US13067030240","Census Tract 302.40, Cobb County, Georgia"
"903","86","888","89","15","24","1400000US13067030241","Census Tract 302.41, Cobb County, Georgia"
"1272","134","1082","131","190","121","1400000US13067030242","Census Tract 302.42, Cobb County, Georgia"
"2039","330","1722","325","317","171","1400000US13067030243","Census Tract 302.43, Cobb County, Georgia"
"1486","197","1453","200","33","42","1400000US13067030244","Census Tract 302.44, Cobb County, Georgia"
"1411","288","1176","155","235","277","1400000US13067030245","Census Tract 302.45, Cobb County, Georgia"
"626","157","449","155","177","94","1400000US13067030246","Census Tract 302.46, Cobb County, Georgia"
"1572","104","403","101","1169","125","1400000US13067030247","Census Tract 302.47, Cobb County, Georgia"
"2848","674","800","376","2048","571","1400000US13067030248","Census Tract 302.48, Cobb County, Georgia"
"1661","194","840","143","821","185","1400000US13067030249","Census Tract 302.49, Cobb County, Georgia"
"1752","127","1741","128","11","14","1400000US13067030250","Census Tract 302.50, Cobb County, Georgia"
"957","136","877","141","80","58","1400000US13067030251","Census Tract 302.51, Cobb County, Georgia"
"1547","164","1497","164","50","60","1400000US13067030252","Census Tract 302.52, Cobb County, Georgia"
"1256","298","1034","234","222","218","1400000US13067030253","Census Tract 302.53, Cobb County, Georgia"
"687","37","520","73","167","71","1400000US13067030254","Census Tract 302.54, Cobb County, Georgia"
"1897","237","986","219","911","210","1400000US13067030255","Census Tract 302.55, Cobb County, Georgia"
"1659","469","1659","469","0","20","1400000US13067030256","Census Tract 302.56, Cobb County, Georgia"
"1934","255","795","236","1139","222","1400000US13067030257","Census Tract 302.57, Cobb County, Georgia"
"1318","217","736","235","582","141","1400000US13067030258","Census Tract 302.58, Cobb County, Georgia"
"1356","226","996","245","360","107","1400000US13067030259","Census Tract 302.59, Cobb County, Georgia"
"1064","274","753","233","311","182","1400000US13067030260","Census Tract 302.60, Cobb County, Georgia"
"1174","117","894","127","280","100","1400000US13067030261","Census Tract 302.61, Cobb County, Georgia"
"1421","210","1274","175","147","150","1400000US13067030262","Census Tract 302.62, Cobb County, Georgia"
"1144","275","974","272","170","90","1400000US13067030263","Census Tract 302.63, Cobb County, Georgia"
"862","194","810","202","52","41","1400000US13067030264","Census Tract 302.64, Cobb County, Georgia"
"1216","233","1207","233","9","15","1400000US13067030265","Census Tract 302.65, Cobb County, Georgia"
"806","115","756","115","50","56","1400000US13067030266","Census Tract 302.66, Cobb County, Georgia"
"1013","314","961","320","52","47","1400000US13067030267","Census Tract 302.67, Cobb County, Georgia"
"916","55","910","57","6","13","1400000US13067030268","Census Tract 302.68, Cobb County, Georgia"
"1240","257","1195","260","45","42","1400000US13067030269","Census Tract 302.69, Cobb County, Georgia"
"1113","134","1107","135","6","11","1400000US13067030270","Census Tract 302.70, Cobb County, Georgia"
"907","160","679","124","228","160","1400000US13067030271","Census Tract 302.71, Cobb County, Georgia"
"772","70","585","89","187","56","1400000US13067030272","Census Tract 302.72, Cobb County, Georgia"
"1031","85","921","121","110","79","1400000US13067030273","Census Tract 302.73, Cobb County, Georgia"
"1356","274","978","289","378","159","1400000US13067030274","Census Tract 302.74, Cobb County, Georgia"
"1307","421","675","419","632","146","1400000US13067030275","Census Tract 302.75, Cobb County, Georgia"
"989","86","927","128","62","89","1400000US13067030276","Census Tract 302.76, Cobb County, Georgia"
"836","108","793","113","43","42","1400000US13067030277","Census Tract 302.77, Cobb County, Georgia"
